# Time-averaged data for fix av
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
0 100
87 2.1625 1.44432 6.635
88 2.1875 1.10728 6.825
89 2.2125 1.21001 7.035
90 2.2375 1.23922 7.2525
91 2.2625 1.11284 7.45
92 2.2875 1.00315 7.63
93 2.3125 1.10256 7.83
94 2.3375 0.95442 8.005
95 2.3625 1.05224 8.2
96 2.3875 1.01453 8.39
97 2.4125 1.21538 8.62
98 2.4375 1.03294 8.8175
99 2.4625 0.89303 8.99
100 2.4875 1.0378 9.1925
600 100
1 0.0125 0 0
2 0.0375 0 0
3 0.0625 0 0
4 0.0875 0 0
5 0.1125 0 0
6 0.1375 0 0
7 0.1625 0 0
8 0.1875 0 0
9 0.2125 0 0
10 0.2375 0 0
11 0.2625 0 0
12 0.2875 0 0
13 0.3125 0 0
14 0.3375 0 0
15 0.3625 0 0
16 0.3875 0 0
17 0.4125 0 0
18 0.4375 0 0
19 0.4625 0 0
20 0.4875 0 0
21 0.5125 0 0
22 0.5375 0 0
23 0.5625 0 0
24 0.5875 0 0
25 0.6125 0 0
26 0.6375 0 0
27 0.6625 0 0
28 0.6875 0 0
29 0.7125 0 0
30 0.7375 0 0
31 0.7625 0 0
32 0.7875 0 0
33 0.8125 0 0
34 0.8375 0 0
35 0.8625 0 0
36 0.8875 0 0
37 0.9125 0 0
38 0.9375 0.101987 0.0075
39 0.9625 0.397351 0.0375
40 0.9875 0.645485 0.0875
41 1.0125 1.35353 0.195
42 1.0375 1.19804 0.2925
43 1.0625 2.00974 0.46
44 1.0875 2.90134 0.7075
45 1.1125 2.8075 0.9525
46 1.1375 1.84921 1.1175
47 1.1625 2.30292 1.3275
48 1.1875 1.66399 1.4825
49 1.2125 1.94511 1.6675
50 1.2375 1.62251 1.825
51 1.2625 1.59039 1.9825
52 1.2875 1.98032 2.1825
53 1.3125 1.55408 2.3425
54 1.3375 1.02463 2.45
55 1.3625 1.30992 2.59
56 1.3875 1.33226 2.735
57 1.4125 0.85741 2.83
58 1.4375 0.798156 2.92
59 1.4625 1.13318 3.05
60 1.4875 0.921308 3.1575
61 1.5125 0.737507 3.245
62 1.5375 0.82916 3.345
63 1.5625 0.713907 3.4325
64 1.5875 0.923501 3.5475
65 1.6125 0.830124 3.6525
66 1.6375 1.08993 3.7925
67 1.6625 0.805158 3.8975
68 1.6875 0.774343 4
69 1.7125 0.893314 4.12
70 1.7375 0.807089 4.23
71 1.7625 0.777558 4.3375
72 1.7875 0.624044 4.425
73 1.8125 0.861611 4.5475
74 1.8375 0.849889 4.67
75 1.8625 0.804257 4.7875
76 1.8875 0.709179 4.8925
77 1.9125 0.916547 5.03
78 1.9375 0.625079 5.125
79 1.9625 0.763276 5.2425
80 1.9875 1.09042 5.4125
81 2.0125 0.839331 5.545
82 2.0375 0.907243 5.69
83 2.0625 0.927151 5.84
84 2.0875 0.90078 5.9875
85 2.1125 1.08625 6.1675
86 2.1375 1.19283 6.3675
87 2.1625 1.19377 6.57
88 2.1875 1.39867 6.81
89 2.2125 1.13799 7.0075
90 2.2375 1.31044 7.2375
91 2.2625 1.08466 7.43
92 2.2875 1.10068 7.6275
93 2.3125 1.03365 7.815
94 2.3375 1.09077 8.015
95 2.3625 1.20064 8.2375
96 2.3875 1.10797 8.445
97 2.4125 1.09649 8.6525
98 2.4375 1.08524 8.86
99 2.4625 0.99657 9.0525
100 2.4875 0.922492 9.2325
700 100
1 0.0125 0 0
2 0.0375 0 0
3 0.0625 0 0
4 0.0875 0 0
5 0.1125 0 0
6 0.1375 0 0
7 0.1625 0 0
8 0.1875 0 0
9 0.2125 0 0
10 0.2375 0 0
11 0.2625 0 0
12 0.2875 0 0
13 0.3125 0 0
14 0.3375 0 0
15 0.3625 0 0
16 0.3875 0 0
17 0.4125 0 0
18 0.4375 0 0
19 0.4625 0 0
20 0.4875 0 0
21 0.5125 0 0
22 0.5375 0 0
23 0.5625 0 0
24 0.5875 0 0
25 0.6125 0 0
26 0.6375 0 0
27 0.6625 0 0
28 0.6875 0 0
29 0.7125 0 0
30 0.7375 0 0
31 0.7625 0 0
32 0.7875 0 0
33 0.8125 0 0
34 0.8375 0 0
35 0.8625 0 0
36 0.8875 0 0
37 0.9125 0 0
38 0.9375 0.0679911 0.005
39 0.9625 0.331125 0.03
40 0.9875 1.0005 0.1075
41 1.0125 1.76273 0.2475
42 1.0375 1.90457 0.4025
43 1.0625 2.00974 0.57
44 1.0875 2.34452 0.77
45 1.1125 2.63561 1
46 1.1375 2.32552 1.2075
47 1.1625 1.97394 1.3875
48 1.1875 2.41547 1.6125
49 1.2125 1.78739 1.7825
50 1.2375 1.67402 1.945
51 1.2625 1.5399 2.0975
52 1.2875 1.26246 2.225
53 1.3125 1.04415 2.3325
54 1.3375 1.26292 2.465
55 1.3625 1.33331 2.6075
56 1.3875 1.07959 2.725
57 1.4125 0.879973 2.8225
58 1.4375 0.909011 2.925
59 1.4625 1.04602 3.045
60 1.4875 1.19984 3.185
61 1.5125 0.863936 3.2875
62 1.5375 0.82916 3.3875
63 1.5625 0.979072 3.5075
64 1.5875 0.662512 3.59
65 1.6125 0.830124 3.695
66 1.6375 0.759061 3.7925
67 1.6625 0.670965 3.88
68 1.6875 0.849889 3.9925
69 1.7125 0.725817 4.09
70 1.7375 0.825431 4.2025
71 1.7625 1.03072 4.345
72 1.7875 0.802343 4.4575
73 1.8125 0.791276 4.57
74 1.8375 0.815199 4.6875
75 1.8625 0.65025 4.7825
76 1.8875 0.692293 4.885
77 1.9125 0.949876 5.0275
78 1.9375 0.740226 5.14
79 1.9625 0.958155 5.2875
80 1.9875 0.88196 5.425
81 2.0125 0.728476 5.54
82 2.0375 0.95417 5.6925
83 2.0625 0.880794 5.835
84 2.0875 1.00765 6
85 2.1125 1.11642 6.185
86 2.1375 1.07354 6.365
87 2.1625 1.23799 6.575
88 2.1875 1.28212 6.795
89 2.2125 1.26763 7.015
90 2.2375 1.13952 7.215
91 2.2625 1.21144 7.43
92 2.2875 1.17034 7.64
93 2.3125 1.01987 7.825
94 2.3375 1.17257 8.04
95 2.3625 1.01177 8.2275
96 2.3875 1.08127 8.43
97 2.4125 1.41355 8.6975
98 2.4375 1.21599 8.93
99 2.4625 0.89303 9.1025
100 2.4875 1.08905 9.315
